,index,total,discharge_count,expire_count,discharge_pp,expired_pp
3566,fx r ankle,1,1.0,0.0,1.0,0.0
3567,r eye blindness,1,1.0,0.0,1.0,0.0
3568,compr fx,1,1.0,0.0,1.0,0.0
3569,stem,1,1.0,0.0,1.0,0.0
3570,nauseated,1,1.0,0.0,1.0,0.0
3571,acure liver failure,1,1.0,0.0,1.0,0.0
3572,?fx,1,1.0,0.0,1.0,0.0
3573,20' fall,1,1.0,0.0,1.0,0.0
3574,lumbar cord compression/le weakness,1,1.0,0.0,1.0,0.0
3575,r knee fx,1,1.0,0.0,1.0,0.0
3576,stridor /stent,1,1.0,0.0,1.0,0.0
3577,"nstemi,transfer",1,1.0,0.0,1.0,0.0
3578,fissure/fistula,1,1.0,0.0,1.0,0.0
3579,l radial/ulner fx,1,1.0,0.0,1.0,0.0
3580,l knee pain/swelling,1,1.0,0.0,1.0,0.0
3581,r tib fib fracture,1,1.0,0.0,1.0,0.0
3582,r/o bacteremia,1,1.0,0.0,1.0,0.0
3583,ectopic ,1,1.0,0.0,1.0,0.0
3584,s/p fall c1-2 unstable fx,1,1.0,0.0,1.0,0.0
3585,ms pain,1,1.0,0.0,1.0,0.0
3586,jp drain dislodged,1,1.0,0.0,1.0,0.0
3587,pain/admission,1,1.0,0.0,1.0,0.0
3588,? seizure by family ,1,1.0,0.0,1.0,0.0
3589,stoma pain,1,1.0,0.0,1.0,0.0
3590,fever rash,1,1.0,0.0,1.0,0.0
3591,chest wall swelling,1,1.0,0.0,1.0,0.0
3592,trach clogged,1,1.0,0.0,1.0,0.0
3593,abd trauma-kicked by horse-liver lac,1,1.0,0.0,1.0,0.0
3594,wound eval/fever,1,1.0,0.0,1.0,0.0
3595,bilateral leg injury,1,1.0,0.0,1.0,0.0
3596,found  down /sdh,1,1.0,0.0,1.0,0.0
3597,needs neuro,1,1.0,0.0,1.0,0.0
3598,facial/ shoulder twitching,1,1.0,0.0,1.0,0.0
3599,l arm twitching ,1,1.0,0.0,1.0,0.0
3600,hickman line eval,1,1.0,0.0,1.0,0.0
3601,eu crititical/strangulation,1,1.0,0.0,1.0,0.0
3602,boerrhaves,1,1.0,0.0,1.0,0.0
3603,right thigh infection,1,1.0,0.0,1.0,0.0
3604,gsw x4,1,1.0,0.0,1.0,0.0
3605,as,1,1.0,0.0,1.0,0.0
3606,cp/etoh,1,1.0,0.0,1.0,0.0
3607,positive bc,1,1.0,0.0,1.0,0.0
3608,s/p seizure/arrest,1,1.0,0.0,1.0,0.0
3609,s/p 20' fall,1,1.0,0.0,1.0,0.0
3610,right ica dissection,1,1.0,0.0,1.0,0.0
3611,si/coumadin overdose,1,1.0,0.0,1.0,0.0
3612,abdominal bloating,1,1.0,0.0,1.0,0.0
3613,r/0 stemi,1,1.0,0.0,1.0,0.0
3614,nausea ? fistula-___ transfer,1,1.0,0.0,1.0,0.0
3615,left leg cellulitis/elevated inr,1,1.0,0.0,1.0,0.0
3616,renal  failure,1,1.0,0.0,1.0,0.0
3617,syncopal episodes ,1,1.0,0.0,1.0,0.0
3618,? renal mass,1,1.0,0.0,1.0,0.0
3619,spontaneous pneumothorax,1,1.0,0.0,1.0,0.0
3620,parethesias,1,1.0,0.0,1.0,0.0
3621,fever/jaundice,1,1.0,0.0,1.0,0.0
3622,sob/ cp,1,1.0,0.0,1.0,0.0
3623,+sdh,1,1.0,0.0,1.0,0.0
3624,r u q  pain,1,1.0,0.0,1.0,0.0
3625,g-tube site bleeding,1,1.0,0.0,1.0,0.0
3626,"""cyst""",1,1.0,0.0,1.0,0.0
3627,cast eval,1,1.0,0.0,1.0,0.0
3628,syncopal episodes x 4,1,1.0,0.0,1.0,0.0
3629,r ankle  necrosis,1,1.0,0.0,1.0,0.0
3630,left sided chest pain/arm pain,1,1.0,0.0,1.0,0.0
3631,pain at surgical site,1,1.0,0.0,1.0,0.0
3632,draining cyst,1,1.0,0.0,1.0,0.0
3633,new fistula,1,1.0,0.0,1.0,0.0
3634,upper abdominal pain/ increased lft's,1,1.0,0.0,1.0,0.0
3635,abd pain with vag bleeding,1,1.0,0.0,1.0,0.0
3636,r sided chest pain,1,1.0,0.0,1.0,0.0
3637,motorcycle vs woods,1,1.0,0.0,1.0,0.0
3638,eating disorder/psych eval,1,1.0,0.0,1.0,0.0
3639,?syncopal episode,1,1.0,0.0,1.0,0.0
3640,decreased uo ,1,1.0,0.0,1.0,0.0
3641,heart palpitations,1,1.0,0.0,1.0,0.0
3642,creat,1,1.0,0.0,1.0,0.0
3643,left shoulder fx,1,1.0,0.0,1.0,0.0
3644,hypotension ,1,1.0,0.0,1.0,0.0
3645,t-spine fx displacement,1,1.0,0.0,1.0,0.0
3646,abml mri,1,1.0,0.0,1.0,0.0
3647,abd pain & vag bleeding,1,1.0,0.0,1.0,0.0
3648,vtach episodes,1,1.0,0.0,1.0,0.0
3649,"cellulitis,pneumonia",1,1.0,0.0,1.0,0.0
3650,urostomy/colostomy issue,1,1.0,0.0,1.0,0.0
3651,left hip pain after fall,1,1.0,0.0,1.0,0.0
3652,hypoglycemic/unresponsive,1,1.0,0.0,1.0,0.0
3653,slurred speech/gait disturbance,1,1.0,0.0,1.0,0.0
3654,bleeding lesion,1,1.0,0.0,1.0,0.0
3655,fall headache,1,1.0,0.0,1.0,0.0
3656,mvc vs telephone pole,1,1.0,0.0,1.0,0.0
3657,bilat leg petechia,1,1.0,0.0,1.0,0.0
3658,breathing problems x months,1,1.0,0.0,1.0,0.0
3659,cp/pna,1,1.0,0.0,1.0,0.0
3660,preg/vag bleeding,1,1.0,0.0,1.0,0.0
3661,woosie/arm pain,1,1.0,0.0,1.0,0.0
3662,depression/___,1,1.0,0.0,1.0,0.0
3663,dysphagia and voice change,1,1.0,0.0,1.0,0.0
3664,facial numbness/swelling,1,1.0,0.0,1.0,0.0
3665,abnormal mri ,1,1.0,0.0,1.0,0.0
3666,abnormal labs fever,1,1.0,0.0,1.0,0.0
3667,fever/dyspnea s/p bx,1,1.0,0.0,1.0,0.0
3668,speech slurred,1,1.0,0.0,1.0,0.0
3669,metabolic disturbance,1,1.0,0.0,1.0,0.0
3670,left clavicle pain,1,1.0,0.0,1.0,0.0
3671,r inguinal herm=nia,1,1.0,0.0,1.0,0.0
3672,hypotension from dialysis,1,1.0,0.0,1.0,0.0
3673,abscess on back,1,1.0,0.0,1.0,0.0
3674,rph,1,1.0,0.0,1.0,0.0
3675,right arm erythema,1,1.0,0.0,1.0,0.0
3676,r/o acs,1,1.0,0.0,1.0,0.0
3677,weak nausea,1,1.0,0.0,1.0,0.0
3678,lle laceration,1,1.0,0.0,1.0,0.0
3679,+ nausea,1,1.0,0.0,1.0,0.0
3680,pseudoaneursym left groin,1,1.0,0.0,1.0,0.0
3681,rectal bleeding on coumadin,1,1.0,0.0,1.0,0.0
3682,sdh (head bleed),1,1.0,0.0,1.0,0.0
3683,med noncompliance,1,1.0,0.0,1.0,0.0
3684,___ admit,1,1.0,0.0,1.0,0.0
3685,ftt/inct,1,1.0,0.0,1.0,0.0
3686,needs insulin needles,1,1.0,0.0,1.0,0.0
3687,s/p fall left arm injury,1,1.0,0.0,1.0,0.0
3688,l  thigh pain,1,1.0,0.0,1.0,0.0
3689,hematoma surg site,1,1.0,0.0,1.0,0.0
3690,dizzy cough,1,1.0,0.0,1.0,0.0
3691,r/0 stroke,1,1.0,0.0,1.0,0.0
3692,left arm numbness/dizzy,1,1.0,0.0,1.0,0.0
3693,epidural mass,1,1.0,0.0,1.0,0.0
3694,bil leg fractures,1,1.0,0.0,1.0,0.0
3695,foot ischemia,1,1.0,0.0,1.0,0.0
3696,seizure v syncope,1,1.0,0.0,1.0,0.0
3697,ischemic index finger,1,1.0,0.0,1.0,0.0
3698,l femoral neck fx,1,1.0,0.0,1.0,0.0
3699,___ od,1,1.0,0.0,1.0,0.0
3700,unwitnessed fall  head injury,1,1.0,0.0,1.0,0.0
3701,elevated blood pressures,1,1.0,0.0,1.0,0.0
3702,? ingestion,1,1.0,0.0,1.0,0.0
3703,pelvic pain ,1,1.0,0.0,1.0,0.0
3704,bizzare behvaior,1,1.0,0.0,1.0,0.0
3705,clot at hd site,1,1.0,0.0,1.0,0.0
3706,lip and facila swelling,1,1.0,0.0,1.0,0.0
3707,dens fx,1,1.0,0.0,1.0,0.0
3708,lll cellulitis,1,1.0,0.0,1.0,0.0
3709,needs eval for mania,1,1.0,0.0,1.0,0.0
3710,requesting blood work,1,1.0,0.0,1.0,0.0
3711,left eye visual blurring,1,1.0,0.0,1.0,0.0
3712,uti/pain/fever,1,1.0,0.0,1.0,0.0
3713,case managecament,1,1.0,0.0,1.0,0.0
3714,altered m s,1,1.0,0.0,1.0,0.0
3715,abnl mra,1,1.0,0.0,1.0,0.0
3716,pneumonia/uti,1,1.0,0.0,1.0,0.0
3717,small head bleed,1,1.0,0.0,1.0,0.0
3718,for eval/pain,1,1.0,0.0,1.0,0.0
3719,lightheaded/shaky,1,1.0,0.0,1.0,0.0
3720,worsening cat bite,1,1.0,0.0,1.0,0.0
3721,"hi,on ___",1,1.0,0.0,1.0,0.0
3722,right eye redness,1,1.0,0.0,1.0,0.0
3723,buttock wound,1,1.0,0.0,1.0,0.0
3724,pseudo seizure,1,1.0,0.0,1.0,0.0
3725,etoh ++,1,1.0,0.0,1.0,0.0
3726,neuro eval/ chest pain,1,1.0,0.0,1.0,0.0
3727,s/p fall 5 days ago,1,1.0,0.0,1.0,0.0
3728,pain and sob,1,1.0,0.0,1.0,0.0
3729,fish bone throat,1,1.0,0.0,1.0,0.0
3730,chest pressure/brady,1,1.0,0.0,1.0,0.0
3731,lower leg cramp,1,1.0,0.0,1.0,0.0
3732,pneumonthorax,1,1.0,0.0,1.0,0.0
3733,pulsating ear,1,1.0,0.0,1.0,0.0
3734,glioblastoma/weak,1,1.0,0.0,1.0,0.0
3735,anemic/weakness,1,1.0,0.0,1.0,0.0
3736,abnormal head mri,1,1.0,0.0,1.0,0.0
3737,h/a x 24 hours,1,1.0,0.0,1.0,0.0
3738,neuropenia,1,1.0,0.0,1.0,0.0
3739,+ incontinence,1,1.0,0.0,1.0,0.0
3740,"abnormal labs,low sat",1,1.0,0.0,1.0,0.0
3741,elev cr,1,1.0,0.0,1.0,0.0
3742,arm dvt,1,1.0,0.0,1.0,0.0
3743,pelvic/back pain,1,1.0,0.0,1.0,0.0
3744,respiratory arrest,1,1.0,0.0,1.0,0.0
3745,etoh requesting detox,1,1.0,0.0,1.0,0.0
3746,case mngmt eval,1,1.0,0.0,1.0,0.0
3747,s/p procedure,1,1.0,0.0,1.0,0.0
3748,throat bleeding,1,1.0,0.0,1.0,0.0
3749,drain removal,1,1.0,0.0,1.0,0.0
3750,inc sob,1,1.0,0.0,1.0,0.0
3751,fever/low sat,1,1.0,0.0,1.0,0.0
3752,bil leg weakness,1,1.0,0.0,1.0,0.0
3753,cp/leg pain,1,1.0,0.0,1.0,0.0
3754,resolved vtach,1,1.0,0.0,1.0,0.0
3755,s/p hypotension/cp,1,1.0,0.0,1.0,0.0
3756,upper respiratory infection,1,1.0,0.0,1.0,0.0
3757,pain in knee,1,1.0,0.0,1.0,0.0
3758,low platlets,1,1.0,0.0,1.0,0.0
3759,rectus sheath bleed,1,1.0,0.0,1.0,0.0
3760,n/v/d/lethargy,1,1.0,0.0,1.0,0.0
3761,? perf esophagus,1,1.0,0.0,1.0,0.0
3762,pericardial effusions,1,1.0,0.0,1.0,0.0
3763,substance misuse/intoxication/si/hi,1,1.0,0.0,1.0,0.0
3764,fall/electrocution,1,1.0,0.0,1.0,0.0
3765,? drug ingestion,1,1.0,0.0,1.0,0.0
3766,"difficulty talking,swelling",1,1.0,0.0,1.0,0.0
3767,right flank pain/sob,1,1.0,0.0,1.0,0.0
3768,major trauma &#___; penetrating,1,1.0,0.0,1.0,0.0
3769,cp-transfer,1,1.0,0.0,1.0,0.0
3770,pleural effusions/afib,1,1.0,0.0,1.0,0.0
3771,___ pain/ vomiting,1,1.0,0.0,1.0,0.0
3772,concussion,1,1.0,0.0,1.0,0.0
3773,old humerous fx,1,1.0,0.0,1.0,0.0
3774,pain fever weakness,1,1.0,0.0,1.0,0.0
3775,right side focal sz,1,1.0,0.0,1.0,0.0
3776,slurred speech/hyperglycemia,1,1.0,0.0,1.0,0.0
3777,dialyisis line eval,1,1.0,0.0,1.0,0.0
3778,r/o spleen injury,1,1.0,0.0,1.0,0.0
3779,altered mental status/ s/p fall,1,1.0,0.0,1.0,0.0
3780,multiple complaint,1,1.0,0.0,1.0,0.0
3781,dizzy/palpatations,1,1.0,0.0,1.0,0.0
3782,breast swelling,1,1.0,0.0,1.0,0.0
3783,bleeding from ear,1,1.0,0.0,1.0,0.0
3784,cp  transfer,1,1.0,0.0,1.0,0.0
3785,weakness/chemo,1,1.0,0.0,1.0,0.0
3786,pain /fever post op,1,1.0,0.0,1.0,0.0
3787,r/o mi,1,1.0,0.0,1.0,0.0
3788,dislodged g-tube,1,1.0,0.0,1.0,0.0
3789,left hip cellulitis,1,1.0,0.0,1.0,0.0
3790,c2 c3 vertebral fx,1,1.0,0.0,1.0,0.0
3791,r hand arterial embolism,1,1.0,0.0,1.0,0.0
3792,mania/___,1,1.0,0.0,1.0,0.0
3793,new seizures,1,1.0,0.0,1.0,0.0
3794,tachycardic fever,1,1.0,0.0,1.0,0.0
3795,tree fell on patient,1,1.0,0.0,1.0,0.0
3796,sob and detox,1,1.0,0.0,1.0,0.0
3797,aphasia/seizure,1,1.0,0.0,1.0,0.0
3798,dizzy/weakness,1,1.0,0.0,1.0,0.0
3799,neuro eval of ?new mass,1,1.0,0.0,1.0,0.0
3800,dehydrations s/p sx,1,1.0,0.0,1.0,0.0
3801,abd pain/delirium,1,1.0,0.0,1.0,0.0
3802,abnl mri/brain lesion,1,1.0,0.0,1.0,0.0
3803,weakness renal failure,1,1.0,0.0,1.0,0.0
3804,woke up on floor,1,1.0,0.0,1.0,0.0
3805,tonsilectomy bleeding ,1,1.0,0.0,1.0,0.0
3806,fever/resp distress,1,1.0,0.0,1.0,0.0
3807,l eye visual disturbance,1,1.0,0.0,1.0,0.0
3808,swollen rt.arm,1,1.0,0.0,1.0,0.0
3809,painful hemorroid,1,1.0,0.0,1.0,0.0
3810,"unsteady,fall",1,1.0,0.0,1.0,0.0
3811,sob/asthma worse,1,1.0,0.0,1.0,0.0
3812,metatarsal fracture,1,1.0,0.0,1.0,0.0
3813,low hematocrit,1,1.0,0.0,1.0,0.0
3814,s/p fall and left arm pain,1,1.0,0.0,1.0,0.0
3815,sdh trans,1,1.0,0.0,1.0,0.0
3816,pancreatic cyst,1,1.0,0.0,1.0,0.0
3817,sob/ pedal edema,1,1.0,0.0,1.0,0.0
3818,low back pain ,1,1.0,0.0,1.0,0.0
3819,panick attacks,1,1.0,0.0,1.0,0.0
3820,tachpneic,1,1.0,0.0,1.0,0.0
3821,cholecystitis ,1,1.0,0.0,1.0,0.0
3822,hand cramp,1,1.0,0.0,1.0,0.0
3823,labile fsbs,1,1.0,0.0,1.0,0.0
3824,low o2 saturations,1,1.0,0.0,1.0,0.0
3825,clotted fistula r arm,1,1.0,0.0,1.0,0.0
3826,buttocks abscess,1,1.0,0.0,1.0,0.0
3827,transfer portal vein occlusion,1,1.0,0.0,1.0,0.0
3828,intubated/sepsis,1,1.0,0.0,1.0,0.0
3829,new mets,1,1.0,0.0,1.0,0.0
3830,lap urinary frequency,1,1.0,0.0,1.0,0.0
3831,bilat pleural effusions,1,1.0,0.0,1.0,0.0
3832,fever 102,1,1.0,0.0,1.0,0.0
3833,open tib fib fx,1,1.0,0.0,1.0,0.0
3834,r axilla cyst,1,1.0,0.0,1.0,0.0
3835,right finger redness,1,1.0,0.0,1.0,0.0
3836,fall found down,1,1.0,0.0,1.0,0.0
3837,abnl labs/ back pain,1,1.0,0.0,1.0,0.0
3838,swollen r  foot,1,1.0,0.0,1.0,0.0
3839,l flanl and back pain,1,1.0,0.0,1.0,0.0
3840,tahcycardia,1,1.0,0.0,1.0,0.0
3841,double dose of coumadin/chest discomfort,1,1.0,0.0,1.0,0.0
3842,"numbness,incontinence",1,1.0,0.0,1.0,0.0
3843,"rash,",1,1.0,0.0,1.0,0.0
3844,chronic r ankle swelling,1,1.0,0.0,1.0,0.0
3845,hip fx transfer,1,1.0,0.0,1.0,0.0
3846,jaundice/weak,1,1.0,0.0,1.0,0.0
3847,crohns/elevated wbc,1,1.0,0.0,1.0,0.0
3848,?psychotic,1,1.0,0.0,1.0,0.0
3849,diff voiding,1,1.0,0.0,1.0,0.0
3850,fistula bleed,1,1.0,0.0,1.0,0.0
3851,altered speech,1,1.0,0.0,1.0,0.0
3852,av fistula occlusion,1,1.0,0.0,1.0,0.0
3853,flexor tenosynovitis,1,1.0,0.0,1.0,0.0
3854,back  pain,1,1.0,0.0,1.0,0.0
3855,lvad misfiring,1,1.0,0.0,1.0,0.0
3856,extrem numbness/weakness,1,1.0,0.0,1.0,0.0
3857,eu critical/diving accident,1,1.0,0.0,1.0,0.0
3858,l foot paresthesia,1,1.0,0.0,1.0,0.0
3859,l hemiparesis,1,1.0,0.0,1.0,0.0
3860,si- ah,1,1.0,0.0,1.0,0.0
3861,after chemo,1,1.0,0.0,1.0,0.0
3862,increased abd girth/le edema,1,1.0,0.0,1.0,0.0
3863,weakness/anemia,1,1.0,0.0,1.0,0.0
3864,? stemi/mvc,1,1.0,0.0,1.0,0.0
3865,c2 fx s/p fall,1,1.0,0.0,1.0,0.0
3866,htn/  lethergy,1,1.0,0.0,1.0,0.0
3867,s/p fall left hip pain,1,1.0,0.0,1.0,0.0
3868,speech difficulties,1,1.0,0.0,1.0,0.0
3869,brbpr post surgical catheter,1,1.0,0.0,1.0,0.0
3870,?dka/___ transfer,1,1.0,0.0,1.0,0.0
3871,low na,1,1.0,0.0,1.0,0.0
3872,syncope vs seizure,1,1.0,0.0,1.0,0.0
3873,abd  pain   /fever,1,1.0,0.0,1.0,0.0
3874,ble pain,1,1.0,0.0,1.0,0.0
3875,face numbness,1,1.0,0.0,1.0,0.0
3876,s/p mvc  c1-2  fx,1,1.0,0.0,1.0,0.0
3877,right cheek swelling,1,1.0,0.0,1.0,0.0
3878,portacath eval,1,1.0,0.0,1.0,0.0
3879,hypotesion,1,1.0,0.0,1.0,0.0
3880,"abd distention,sob",1,1.0,0.0,1.0,0.0
3881,psych consult,1,1.0,0.0,1.0,0.0
3882,lethargic/vomiting,1,1.0,0.0,1.0,0.0
3883,occlusion of ivc,1,1.0,0.0,1.0,0.0
3884,ha/vom,1,1.0,0.0,1.0,0.0
3885,gall bladder mass,1,1.0,0.0,1.0,0.0
3886,lacunar infarct,1,1.0,0.0,1.0,0.0
3887,fall hip pain,1,1.0,0.0,1.0,0.0
3888,pneumonia transfer,1,1.0,0.0,1.0,0.0
3889,weak/diarrhea,1,1.0,0.0,1.0,0.0
3890,amputation,1,1.0,0.0,1.0,0.0
3891,abd pain/swallowed metal and a tooth,1,1.0,0.0,1.0,0.0
3892,___/ r hand numbness r/o comp syndrome,1,1.0,0.0,1.0,0.0
3893,diarrhea/hypotension,1,1.0,0.0,1.0,0.0
3894,pd cath eval,1,1.0,0.0,1.0,0.0
3895,pain control- lupus flare,1,1.0,0.0,1.0,0.0
3896,change ms  elevated ___/p,1,1.0,0.0,1.0,0.0
3897,status asthmaticus,1,1.0,0.0,1.0,0.0
3898,dehydration/?peritonitis,1,1.0,0.0,1.0,0.0
3899,left eye blurriness,1,1.0,0.0,1.0,0.0
3900,large volume colostomy output,1,1.0,0.0,1.0,0.0
3901,retropharyngeal edema,1,1.0,0.0,1.0,0.0
3902,uti/hallucinations,1,1.0,0.0,1.0,0.0
3903,subacute stroke transfer,1,1.0,0.0,1.0,0.0
3904,call back/abnormal ct scan,1,1.0,0.0,1.0,0.0
3905,vomiting /st,1,1.0,0.0,1.0,0.0
3906,unsteady gait/pain,1,1.0,0.0,1.0,0.0
3907,--,1,1.0,0.0,1.0,0.0
3908,juandice/liver mass,1,1.0,0.0,1.0,0.0
3909,s/p transfusion reaction,1,1.0,0.0,1.0,0.0
3910,tracheitis,1,1.0,0.0,1.0,0.0
3911,abnl bloodwork elev lfts,1,1.0,0.0,1.0,0.0
3912,syncopal/fall,1,1.0,0.0,1.0,0.0
3913,transfer gsw,1,1.0,0.0,1.0,0.0
3914,aggressive behaviors,1,1.0,0.0,1.0,0.0
3915,left fistula bleeding,1,1.0,0.0,1.0,0.0
3916,stab to chest,1,1.0,0.0,1.0,0.0
3917,alt. m. s.,1,1.0,0.0,1.0,0.0
3918,anxious/etoh abuse,1,1.0,0.0,1.0,0.0
3919,r fem neck fx s/p fall,1,1.0,0.0,1.0,0.0
3920,gsw to leg,1,1.0,0.0,1.0,0.0
3921,groin and flank pain,1,1.0,0.0,1.0,0.0
3922,vomitting and weakness,1,1.0,0.0,1.0,0.0
3923,bleeding from urostomy,1,1.0,0.0,1.0,0.0
3924,jaundice ,1,1.0,0.0,1.0,0.0
3925,r  ankle  fx  dislocation,1,1.0,0.0,1.0,0.0
3926,psych/detox,1,1.0,0.0,1.0,0.0
3927,vaginal wound dehissence,1,1.0,0.0,1.0,0.0
3928,vegitation on fistula,1,1.0,0.0,1.0,0.0
3929,"fever,bodyaches",1,1.0,0.0,1.0,0.0
3930,fall/neck pain,1,1.0,0.0,1.0,0.0
3931,ble edema/increased confusion,1,1.0,0.0,1.0,0.0
3932,? accidental od,1,1.0,0.0,1.0,0.0
3933,new lesion on head ct,1,1.0,0.0,1.0,0.0
3934,dizziness/r sided numbness,1,1.0,0.0,1.0,0.0
3935,lethargic/aphasic,1,1.0,0.0,1.0,0.0
3936,brain mass w/ shift,1,1.0,0.0,1.0,0.0
3937,assaultive,1,1.0,0.0,1.0,0.0
3938,brbpr s/p colonoscopy,1,1.0,0.0,1.0,0.0
3939,cdiff ? sepsis,1,1.0,0.0,1.0,0.0
3940,n/v/d - dizziness,1,1.0,0.0,1.0,0.0
3941,abdominal pain/brbpr,1,1.0,0.0,1.0,0.0
3942,cough and s/p fall,1,1.0,0.0,1.0,0.0
3943,r foot bruising,1,1.0,0.0,1.0,0.0
3944,unhappy with rehab,1,1.0,0.0,1.0,0.0
3945,distension,1,1.0,0.0,1.0,0.0
3946,od/ si,1,1.0,0.0,1.0,0.0
3947,septic sepsis,1,1.0,0.0,1.0,0.0
3948,clot,1,1.0,0.0,1.0,0.0
3949,cp/epigastric pain,1,1.0,0.0,1.0,0.0
3950,uri sx,1,1.0,0.0,1.0,0.0
3951,back pain s/p lamin,1,1.0,0.0,1.0,0.0
3952,feeling confused,1,1.0,0.0,1.0,0.0
3953,ich/assault,1,1.0,0.0,1.0,0.0
3954,l breast wound,1,1.0,0.0,1.0,0.0
3955,swallowed battery,1,1.0,0.0,1.0,0.0
3956,?tia/ro cva,1,1.0,0.0,1.0,0.0
3957,left sided chest heaviness/cough,1,1.0,0.0,1.0,0.0
3958,detox/epigastric pain,1,1.0,0.0,1.0,0.0
3959,dry heaves,1,1.0,0.0,1.0,0.0
3960,h/a body aches,1,1.0,0.0,1.0,0.0
3961,esophageal spasm,1,1.0,0.0,1.0,0.0
3962,abd pain/tumor,1,1.0,0.0,1.0,0.0
3963,s/p fall with loc,1,1.0,0.0,1.0,0.0
3964,intubated bicyclist,1,1.0,0.0,1.0,0.0
3965,cough/pneumonia,1,1.0,0.0,1.0,0.0
3966,s/p fall from horse,1,1.0,0.0,1.0,0.0
3967,self injurious behavior,1,1.0,0.0,1.0,0.0
3968,weak/diaphoretic,1,1.0,0.0,1.0,0.0
3969,chest pain/throat pain,1,1.0,0.0,1.0,0.0
3970,r leg pain and numbess,1,1.0,0.0,1.0,0.0
3971,facial pain/wants pacemaker checked,1,1.0,0.0,1.0,0.0
3972,left sided flank/abdominal pain,1,1.0,0.0,1.0,0.0
3973,neck pain.ha s/p fall,1,1.0,0.0,1.0,0.0
3974,stabbed,1,1.0,0.0,1.0,0.0
3975,neck pain and diff. swallowing,1,1.0,0.0,1.0,0.0
3976,___.,1,1.0,0.0,1.0,0.0
3977,episode unresponsive,1,1.0,0.0,1.0,0.0
3978,groin and back pain,1,1.0,0.0,1.0,0.0
3979,gen weakness/dizziness,1,1.0,0.0,1.0,0.0
3980,bilat thigh hematomas,1,1.0,0.0,1.0,0.0
3981,ll  abd  pain ,1,1.0,0.0,1.0,0.0
3982,sync low hct,1,1.0,0.0,1.0,0.0
3983,'passed out',1,1.0,0.0,1.0,0.0
3984,bulimia,1,1.0,0.0,1.0,0.0
3985,drug abuse,1,1.0,0.0,1.0,0.0
3986,rt lung pain,1,1.0,0.0,1.0,0.0
3987,change of ms /hypoglycemia,1,1.0,0.0,1.0,0.0
3988,r ankle redness,1,1.0,0.0,1.0,0.0
3989,ili cough /bodyaches,1,1.0,0.0,1.0,0.0
3990,syncope vs. seizure,1,1.0,0.0,1.0,0.0
3991,lethargy ,1,1.0,0.0,1.0,0.0
3992,rapid afib/hypotension,1,1.0,0.0,1.0,0.0
3993,abcess on head,1,1.0,0.0,1.0,0.0
3994,bleeding lip,1,1.0,0.0,1.0,0.0
3995,c-1 fx.,1,1.0,0.0,1.0,0.0
3996,left sided weaknesss,1,1.0,0.0,1.0,0.0
3997,dizzy/ble edema,1,1.0,0.0,1.0,0.0
3998,dysphagia ,1,1.0,0.0,1.0,0.0
3999,r foot infection hypotension,1,1.0,0.0,1.0,0.0
4000,peritonial dialysis catheter eval,1,1.0,0.0,1.0,0.0
4001,cm,1,1.0,0.0,1.0,0.0
4002,splenic infarction transfer,1,1.0,0.0,1.0,0.0
4003,s/p foot surgery.,1,1.0,0.0,1.0,0.0
4004,psych re-eval,1,1.0,0.0,1.0,0.0
4005,"fever,chills pain",1,1.0,0.0,1.0,0.0
4006,25ft fall,1,1.0,0.0,1.0,0.0
4007,lethargy ? sepsis,1,1.0,0.0,1.0,0.0
4008,hct 21/rectal bleeding,1,1.0,0.0,1.0,0.0
4009,syncope. s/p fall down stairs,1,1.0,0.0,1.0,0.0
4010,vomiting /weak/lethargy,1,1.0,0.0,1.0,0.0
4011,ruq /epigastric pain,1,1.0,0.0,1.0,0.0
4012,abrasion r arm s/p fall,1,0.0,1.0,0.0,1.0
4013,withdrawel seizure,1,1.0,0.0,1.0,0.0
4014,left parietal bleed,1,1.0,0.0,1.0,0.0
4015,cp l shoulder pain,1,1.0,0.0,1.0,0.0
4016,"hematuria,frequency",1,1.0,0.0,1.0,0.0
4017,+ clot,1,1.0,0.0,1.0,0.0
4018,l calf swollen,1,1.0,0.0,1.0,0.0
4019,l buttocks wound infection,1,1.0,0.0,1.0,0.0
4020,"cough,nausea",1,1.0,0.0,1.0,0.0
4021,feeding tube placement,1,1.0,0.0,1.0,0.0
4022,rt post tibial artery occl,1,1.0,0.0,1.0,0.0
4023,? mastitis,1,1.0,0.0,1.0,0.0
4024,chest pain/abdominal pain,1,1.0,0.0,1.0,0.0
4025,head trauma,1,1.0,0.0,1.0,0.0
4026,"abd pain,nausea/vomiting",1,1.0,0.0,1.0,0.0
4027,right sided wkness,1,1.0,0.0,1.0,0.0
4028,r/o code cord,1,1.0,0.0,1.0,0.0
4029,bi-transfer,1,1.0,0.0,1.0,0.0
4030,decreased platelets,1,1.0,0.0,1.0,0.0
4031,liver laceration s/p fall,1,1.0,0.0,1.0,0.0
4032,dystextia,1,1.0,0.0,1.0,0.0
4033,brb from ostomy,1,1.0,0.0,1.0,0.0
4034,dizzy/amensia,1,1.0,0.0,1.0,0.0
4035,bleach ingestion,1,1.0,0.0,1.0,0.0
4036,dizzy and fell,1,1.0,0.0,1.0,0.0
4037,bicyclist vs car door,1,1.0,0.0,1.0,0.0
4038,hallucinations & unsafe behavior,1,1.0,0.0,1.0,0.0
